20:24:56.439 [main] INFO  com.hengzhi.HengzhiOffcialApplicationTests - Starting HengzhiOffcialApplicationTests using Java 1.8.0_241 on LAPTOP-7TC5A5HO with PID 16716 (started by 33896 in E:\document\git_repository\hengzhi-official)
20:24:56.454 [main] INFO  com.hengzhi.HengzhiOffcialApplicationTests - No active profile set, falling back to default profiles: default
20:25:00.828 [main] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [authenticationCache]
20:25:00.828 [main] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [authorizationCache]
20:25:04.197 [main] INFO  com.hengzhi.HengzhiOffcialApplicationTests - Started HengzhiOffcialApplicationTests in 8.385 seconds (JVM running for 12.681)
20:25:04.675 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
20:25:06.328 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
20:25:06.328 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
20:25:40.409 [main] INFO  com.hengzhi.HengzhiOffcialApplicationTests - Starting HengzhiOffcialApplicationTests using Java 1.8.0_241 on LAPTOP-7TC5A5HO with PID 17628 (started by 33896 in E:\document\git_repository\hengzhi-official)
20:25:40.425 [main] INFO  com.hengzhi.HengzhiOffcialApplicationTests - No active profile set, falling back to default profiles: default
20:25:45.069 [main] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [authenticationCache]
20:25:45.069 [main] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [authorizationCache]
20:25:48.747 [main] INFO  com.hengzhi.HengzhiOffcialApplicationTests - Started HengzhiOffcialApplicationTests in 9.263 seconds (JVM running for 13.592)
20:25:49.261 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
20:25:50.448 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
